index,X,Y,FID,STTNKEY,STTNID,NHS,LOCATION,CONFIDENCE,COMMENT,LONGITUDE,LATITUDE,STPOSTAL,AADT,YEAR_GEO,FCLASS,STFIPS,CTFIPS,VERSION
40,-149.85377879616064,61.15236120660715,6041,02000143,000143,1,EWARD HWY-S OF 76TH ONRAMP-NB,3, ,-149.853778,61.152361,AK,0,2001, ,2,20,1
41,-149.45947379579337,60.51159820601049,6042,02000180,000180,3,OOSE PASS BY FISH HATCHERY-ON SEWARD HWY (PERM RE,2,Poor Location Description,-149.459474,60.511598,AK,1740,2001,2,2,112,1
42,-149.91020179621316,61.20484920665604,6043,02000237,000237,7,INNESOTA DR @ CHESTER CREEK (EXCLUDING SPENARD ON,3, ,-149.910202,61.204849,AK,35329,2001,14,2,20,1
43,-143.0040597897812,63.30603120861304,6044,02000502,000502,1,** TOK *** TOK CUTOFF AT TOK JUNCTION (EB),3, ,-143.00406,63.306031,AK,991,2001,1,2,240,1
44,-141.4518547883355,62.84514220818369,6045,02000503,000503,1,LASKA HIGHWAY AT GARDINER CREEK MAINT CAMP (EB),2,Poor Location Description,-141.451855,62.845142,AK,406,2001,1,2,240,1
45,-147.70091079415556,64.84463121004597,6046,02000504,000504,2,"TEESE EXPRESSWAY, CHENA BRIDGE (NB)",3, ,-147.700911,64.844631,AK,26819,2001,14,2,90,1
46,-145.47808179208528,62.13895220752608,6047,02000505,000505,1,ICHARDSON HIGHWAY AT GULKANA AIRFIELD (NB),3, ,-145.478082,62.138952,AK,1121,2001,1,2,261,1
47,-147.55417079401877,64.97366821016617,6048,02000506,000506,0,"TEESE HIGHWAY, NORTH OF FOX (EB)",2,Location description not precise,-147.55417,64.973668,AK,1513,2001,6,2,90,1
48,-147.703620794158,64.8514682100523,6049,02000507,000507,0,OLLEGE ROAD AT BENTLEY MALL (EB),3, ,-147.70362,64.851469,AK,16305,2001,16,2,90,1
49,-145.79302079237863,63.41414020871372,6050,02000508,000508,3,RICHARDSON HIGHWAY AT TRIMS CAMP (NB),3, ,-145.793021,63.41414,AK,0,1999, ,2,240,1
50,-147.63249279409183,64.97966121017163,6051,02000510,000510,2,"LLIOTT HIGHWAY, NORTH OF FOX (NB)",2,Description not precise,-147.632493,64.979661,AK,1071,2001,2,2,90,1
51,-145.12008779175196,61.42955020686542,6052,02000511,000511,3,ICHARDSON HIGHWAY AT ERNESTINE (NB),3, ,-145.120088,61.429551,AK,0,2001, ,2,261,1
52,-149.09647979545528,64.56205220978278,6053,02000512,000512,1,ARKS HIGHWAY AT NENANA (NB),3, ,-149.096479,64.562052,AK,1534,2001,1,2,290,1
53,-146.91483479342355,61.9848552073825,6054,02000513,000513,1,LENN HIGHWAY AT NELCHINA MAINTENANCE STATION (NB),1,Poor Location Description,-146.914835,61.984855,AK,877,2001,1,2,261,1
54,-146.25689879281072,61.120181206577286,6055,02000514,000514,3,ICHARDSON HIGHWAY AT 3 MILE (EB),3, ,-146.256899,61.120181,AK,24092,2001,11,2,261,1
55,-147.9987837944329,64.84667821004768,6056,02000515,000515,1,ARKS HIGHWAY AT ESTER (NB),3, ,-147.998784,64.846678,AK,2290,2001,1,2,90,1
56,-147.84298479428776,64.84304021004435,6057,02000516,000516,1,"ARKS HIGHWAY, CHENA BRIDGE (NB)",3, ,-147.842985,64.84304,AK,14775,2001,11,2,90,1
57,-147.7551437942061,64.82209521002483,6058,02000517,000517,1,ARKS HIGHWAY AT LATHROP STREET (EB),3, ,-147.755143,64.822095,AK,13511,2001,11,2,90,1
58,-147.75065479420184,64.83733021003911,6059,02000518,000518,3,IRPORT WAY BETWEEN LATHROP STREET AND WILBUR STRE,3, ,-147.750655,64.83733,AK,18499,2001,14,2,90,1
59,-146.34143579288934,61.13132420658762,6060,02000519,000519,3,** VALDEZ *** RICHARDSON HIGHWAY AT VALDEZ (NB),3, ,-146.341436,61.131325,AK,4670,2001,2,2,261,1
60,-147.67565379413213,64.87129821007083,6061,02000520,000520,0,ARMERS LOOP ROAD WEST OF STEESE EXPRESSWAY (NB),2,"Not on NHPN, Poor location description",-147.675654,64.871298,AK,6543,2001,7,2,0,1
61,-147.40797579388274,64.84782221004889,6062,02000521,000521,0,"ORDALE ROAD, CHENA BRIDGE (NB)",3,Not on NHPN,-147.407975,64.847822,AK,1702,2001,17,2,0,1
62,-147.81017679425736,64.84369821004498,6063,02000522,000522,0,"NIVERSITY AVENUE, CHENA BRIDGE (NB)",3, ,-147.810177,64.843699,AK,18133,2001,14,2,90,1
63,-147.77603279422553,64.8428012100441,6064,02000523,000523,0,"EGER ROAD, CHENA BRIDGE (NB)",3,Not on NHPN,-147.776033,64.842801,AK,15309,2001,16,2,0,1
64,-147.71905979417235,64.84470721004607,6065,02000524,000524,0,"USHMAN STREET, CHENA BRIDGE (NB)",3,Not on NHPN,-147.71906,64.844708,AK,15224,2001,16,2,0,1
65,-147.70910579416312,64.84562721004686,6066,02000525,000525,0,"WENDELL STREET, CHENA BRIDGE (NB)",2,"Couldn't find Wendell cross w/ Chena , Not on NHPN",-147.709106,64.845627,AK,9521,1999,16,2,0,1
66,-147.70754879416177,64.83586221003769,6067,02000526,000526,3,IRPORT WAY BETWEEN STEESE EXPWY AND NOBLE STREET,3, ,-147.707548,64.835863,AK,16553,2001,14,2,90,1
67,-147.8006177942484,64.85711821005759,6068,02000527,000527,0,OLLEGE ROAD EAST OF HAYES STREET (EB),3, ,-147.800617,64.857118,AK,8628,2001,16,2,90,1
68,-147.1397647936328,64.70287720991377,6069,02000528,000528,1,ICHARDSON HIGHWAY AT MOOSE CREEK (EB),3, ,-147.139765,64.702877,AK,9426,2001,1,2,90,1
69,-147.56570579402958,64.81802921002094,6070,02000529,000529,0,AST END BADGER LOOP ROAD (NB),2,Poor Location Description,-147.565706,64.818029,AK,7807,2001,17,2,90,1
70,-111.88191276079648,48.45906319478552,6071,30000061,000061,1,JUST N OF MARIAS INT MP 359.5,3, ,-111.881912,48.459063,MT,2721,1999,1,30,101,1
71,-114.34602976309132,47.833847194203365,6072,30000062,000062,7,00.8 MILES N. OF ELMO M.P.78.0,3, ,-114.346029,47.833848,MT,4073,1999,2,30,47,1
72,-105.98729975530676,45.561690192087376,6073,30000063,000063,7,10.5 MILES EAST OF FAS484 MP 76.7,3, ,-105.9873,45.56169,MT,719,1999,2,30,75,1
73,-111.27237676022877,45.26814319181392,6074,30000064,000064,0,01.0 MILE WEST OF U.S. 191 MP1,3, ,-111.272377,45.268144,MT,6210,1999,7,30,31,1
74,-112.5246627613951,45.990397192486334,6075,30000065,000065,1,BETWEEN MONT. ST. AND HARRISON AVE.INTRS.MP 127,3, ,-112.524663,45.990398,MT,13752,1999,1,30,93,1
75,-113.37103676218328,47.01651219344223,6076,30000066,000066,0,01.0 MILE NORTH OF MT.200 MP1,3, ,-113.371037,47.016512,MT,2215,1999,6,30,63,1
76,-113.97897976274947,46.87163819330733,6077,30000067,000067,0,VAN BURREN ST SOUTH OF POPLAR MISSOULA,3,Not on NHPN,-113.97898,46.871638,MT,9529,1999,6,30,0,1
77,-113.99327376276278,46.85723919329383,6078,30000068,000068,0,BECKWITH WEST OF HILDA MISSOULA,2,Not on NHPN,-113.993274,46.857239,MT,2775,1999,7,30,0,1
78,-112.79824176164992,46.23571719271495,6079,30000069,000069,0,S273 1 MILE NORTH OF P47 NEAR GALEN,1,Poor Location Description,-112.798242,46.235717,MT,0,1999, ,30,0,1
79,-112.67971676153958,46.955089193385,6080,30000070,000070,7,01.2 MILES EAST OF LINCOLN  MP 73,3, ,-112.679717,46.955089,MT,2193,1999,2,30,49,1
80,-111.26190076021908,47.510402193902166,6081,30000042,000042,0,26TH.ST.N BET.4TH.AND 5TH.AVE.GREAT FALLS,3,Not on NHPN,-111.261901,47.510402,MT,3365,1999,6,30,0,1
81,-111.22977476018916,45.278986191824174,6082,30000043,000043,7,01.5 MILES NORTH OF MT.64 M.P.49.8,3, ,-111.229775,45.278986,MT,5148,1999,2,30,31,1
82,-109.89440475894548,48.56036819488014,6083,30000046,000046,7,09.0 MILES WEST OF HAVRE M.P. 372.9,3, ,-109.894405,48.560369,MT,1466,1999,2,30,41,1
83,-114.08761976285064,46.62111119307389,6084,30000047,000047,7,01.0 MILES SOUTH OF FLORENCE M.P.73.7,3, ,-114.08762,46.621111,MT,8944,1999,2,30,81,1
84,-106.81551875607806,46.2423901927212,6085,30000049,000049,0,00.5 MILES SOUTH OF I 94 M.P. 50.7,3, ,-106.815518,46.24239,MT,888,1999,6,30,87,1
85,-108.4705577576194,45.81323819232146,6086,30000050,000050,7,MAIN ST. BET. MILTON RD. AND  HANSEN LN. BILLINGS,2, ,-108.470558,45.813238,MT,0,1999, ,30,111,1
86,-108.57265375771452,45.77696619228789,6087,30000051,000051,0,BROADWATER BET. 22ND ST.AND GAY PLACE BILLINGS,2, ,-108.572653,45.776966,MT,14388,1999,2,30,111,1
87,-108.43797175758908,45.80194619231122,6088,30000052,000052,0,OLD HARDIN RD. BET. PETERS AND PICOLO BILLINGS,2,Not on NHPN,-108.437971,45.801946,MT,3812,1999,6,30,0,1
88,-105.21222175458472,46.43433819290004,6089,30000053,000053,0,36.6 MILES EAST OF I 94 NEAR  LOCATE M.P.36.6,3, ,-105.212222,46.434338,MT,0,1999, ,30,17,1
89,-108.56230175770496,45.77223619228341,6090,30000054,000054,0,19TH ST. BET. WYOMING AND YELLOWSTONE BILLINGS,2,Not on NHPN,-108.562301,45.772237,MT,8224,1999,7,30,0,1
90,-110.49913275950864,48.55314219487342,6091,30000055,000055,7,2.5 MILES E OF RYEGATE  MP 133,3, ,-110.499132,48.553142,MT,0,1999, ,30,41,1
91,-114.16086876291882,46.278624192754975,6092,30000056,000056,7,02.5 MILES NORTH OF HAMILTON M.P.51.0,3, ,-114.160868,46.278624,MT,11244,1999,2,30,81,1
92,-107.34591975657212,45.28196419182683,6093,30000057,000057,1,JUST S OF LODGEGRASS MP 533.3,3, ,-107.34592,45.281965,MT,3835,1999,1,30,3,1
93,-109.24060675833644,45.22056819176976,6094,30000058,000058,0,01.8 MILES NORTH OF RED LODGE M.P.72.0,3, ,-109.240607,45.220568,MT,2782,1999,6,30,9,1
94,-108.5389927576832,45.75203919226448,6095,30000059,000059,1,BILLINGS URBAN MP 447,3, ,-108.538993,45.75204,MT,24424,1999,1,30,111,1
95,-114.12777876288804,48.37770419470992,6096,30000060,000060,7,01.5 MILES N. OF COLUMBIA FALLS HEIGHTS MP 139.6,3, ,-114.127779,48.377705,MT,6518,1999,2,30,29,1
96,-113.81339976259528,46.82792819326654,6097,30000001,000001,1,10.0 MILES EAST OF MISSOULA M.P.114.5,3, ,-113.813399,46.827928,MT,0,1999, ,30,63,1
97,-111.81454676073366,46.56895419302537,6098,30000002,000002,7,09.0 MILES EAST OF HELENA M.P.54.5,3, ,-111.814547,46.568954,MT,5645,1999,2,30,43,1
98,-111.99560376090233,46.58954919304471,6099,30000003,000003,1,00.5 MILES SOUTH OF HELENA M.P.192.0,3, ,-111.995604,46.589549,MT,10300,1999,1,30,49,1
99,-104.60188775401636,47.10466719352416,6100,30000004,000004,1,01.7 MILES EAST OF GEYSER M.P.23.0,3, ,-104.601888,47.104667,MT,0,1999, ,30,21,1
100,-104.18840875363132,46.97615219340452,6101,30000005,000005,0,01.0 MILES SOUTH OF WIBAUX M.P.79.1,3, ,-104.188409,46.976153,MT,713,1999,6,30,109,1
101,-111.33423676028627,45.84947419235528,6102,30000006,000006,1,00.5 MILES SOUTH OF MANHATTAN,1,"Not in CTFIPS 97 but in 31,  Not on NHPN",-111.334237,45.849474,MT,1117,1999,7,30,31,1
102,-112.0194747609246,47.037647193462014,6103,30000007,000007,1,06.5 MILES NORTH OF WOLF CREEKM.P.230.5,3, ,-112.019475,47.037647,MT,0,1999, ,30,49,1
103,-114.17787976293464,47.2732111936811,6104,30000008,000008,7,00.5 MILES SOUTH OF RAVALLI M.P.26.7,3, ,-114.17788,47.273211,MT,0,1999, ,30,47,1
104,-111.46120076040462,47.547984193937054,6105,30000009,000009,1,07.0 MILES WEST OF GREAT FALLSM.P.287.0,3, ,-111.461201,47.547984,MT,8389,1999,1,30,13,1
105,-105.60417475494997,48.105218194456135,6106,30000010,000010,7,02.0 MILES EAST OF WOLF POINT M.P.592.6,3, ,-105.604175,48.105218,MT,2229,1999,2,30,85,1
106,-108.63218875776988,45.717866192232805,6107,30000011,000011,1,06.0 MILES WEST OF BILLINGS M.P.441.8,3, ,-108.632189,45.717867,MT,0,1999, ,30,111,1
107,-109.59153175866344,47.03850519346281,6108,30000012,000012,7,06.0 MILES WEST OF LEWISTOWN M.P.76.2,3, ,-109.591532,47.038505,MT,2187,1999,2,30,27,1
108,-109.42547975850874,47.1604281935762,6109,30000013,000013,0,07.0 MILES NORTH OF LEWISTOWN M.P.9.5,3, ,-109.42548,47.160429,MT,1223,1999,6,30,27,1
109,-112.7680477616218,45.20615319175618,6110,30000014,000014,0,07.0 MILES SOUTHWEST OF DILLONM.P.6.0,3, ,-112.768048,45.206153,MT,839,1999,6,30,1,1
110,-113.78853576257212,46.89238919332661,6111,30000015,000015,7,04.0 MILES NORTHEAST OF BONNERM.P.5.2,3, ,-113.788535,46.892389,MT,4356,1999,2,30,63,1
111,-112.59636976146167,46.00622519250118,6112,30000016,000016,1,03.0 MILES WEST OF BUTTE M.P. 123.0,3, ,-112.59637,46.006226,MT,15550,1999,1,30,93,1
112,-110.88024275986366,45.22321319177208,6113,30000020,000020,7,17.0 MILES NORTH OF GARDINER M.P.18.0,3, ,-110.880243,45.223213,MT,1554,1999,2,30,67,1
113,-112.01948476092451,46.59262519304729,6114,30000021,000021,0,MONT. AVE. BET. BILLINGS AND  MISSOULA AVE.HELENA,3,Reference Streets not in database,-112.019484,46.592625,MT,21862,1999,2,30,49,1
114,-106.10194575541344,46.60112219305529,6115,30000022,000022,0,18.3 MILES NORTH OF MILES CITY M.P.18.3,3, ,-106.101946,46.601123,MT,319,1999,6,30,17,1
115,-108.7660687578946,48.56590819488519,6116,30000023,000023,0,02.5 MILES NORTH OF HARLEM,3, ,-108.766069,48.565908,MT,310,1999,7,30,5,1
116,-114.35628576310084,48.19712919454173,6117,30000024,000024,7,01.3 MILES WEST OF KALISPELL M.P.118.9,3, ,-114.356286,48.197129,MT,8742,1999,2,30,29,1
117,-118.16127776664456,48.80492819510784,6118,53P260AA,P260AA,2,218MP 260.00 N/O COUNTY ROAD - ORIENT,3, ,-118.161278,48.804928,WA,700,2000,2,53,19,1
118,-118.0036687664978,48.77916319508388,6119,53P270AA,P270AA,0,218MP 097.00 N/O BOSSBURG ROAD - NORTHPORT,3, ,-118.003669,48.779163,WA,391,2000,6,53,65,1
119,-117.34885976588792,47.963372194324,6120,53P280AA,P280AA,7,218MP 301.40 S/O NORWOOD ROAD - CHATTAROY,3, ,-117.34886,47.963372,WA,17592,2000,2,53,63,1
120,-120.47616876880048,46.594843193049485,6121,53P290AA,P290AA,1,218MP 034.02 N/O SR 24 - YAKIMA,3, ,-120.476169,46.594843,WA,45806,2000,11,53,77,1
121,-117.19086076574077,47.518860193910136,6122,53P300AA,P300AA,0,218MP 077.30 ON SR 27 N/O GIBBS ROAD,2,MP conflicts W/ relative location (N/O Gibbs Road),-117.190861,47.51886,WA,57075,2000,7,53,63,1
122,-122.86715677102733,47.04045019346461,6123,53P400AA,P400AA,1,218MP 106.70 AT BOULEVARD ROAD UXING - OLYMPIA,3, ,-122.867156,47.04045,WA,140437,2000,11,53,67,1
123,-122.6601707708346,45.64454119216429,6124,53P5005A,P5005A,1,218MP 001.98 S/O SR 500/39TH ST. I/C,3, ,-122.66017,45.644541,WA,123849,2000,11,53,11,1
124,-122.21953577042429,47.41185019381033,6125,53P600AA,P600AA,7,218MP 023.70 ON SR 167 N/O S212TH ST I/C,3, ,-122.219535,47.41185,WA,119061,2000,12,53,33,1
125,-118.50428076696404,47.01502719344086,6126,53P7C05A,P7C05A,2,218MP 093.01 S/O SR90 I/C,3, ,-118.504281,47.015027,WA,7052,2000,2,53,1,1
126,-122.1918047703984,48.17592819452198,6127,53R0011A,R0011A,1,206MP 207.76 N/O LAKE GOODWIN RD I/C - MARYSVILLE,3, ,-122.191805,48.175929,WA,0,2000, ,53,61,1
127,-122.99146577114306,47.04621419346972,6128,53R0031A,R0031A,3,206MP 361.37 N/O SR 8 - OLYMPIA,3, ,-122.991466,47.046214,WA,0,2000, ,53,67,1
128,-122.98500777113702,47.04251119346657,6129,53R0033A,R0033A,3,206MP 361.70 E/O SR 8 - OLYMPIA,3, ,-122.985008,47.042511,WA,0,2000, ,53,67,1
129,-104.1682097536124,46.98861719341608,6130,30000025,000025,1,00.5 MILES EAST OF WIBAUX M.P.242.8,3, ,-104.16821,46.988617,MT,2764,1999,1,30,109,1
130,-123.0109087711612,47.056941193479936,6131,53R0037A,R0037A,3,206MP 020.67 AT SR 101 OXING - OLYMPIA,3, ,-123.010909,47.056941,WA,0,2000, ,53,67,1
131,-108.75178875788129,47.392986193792815,6132,30000027,000027,7,10.5 MILES NE OF ROY MP 70,3, ,-108.751789,47.392986,MT,585,1999,2,30,27,1
132,-120.88780276918396,47.17307619358815,6133,53R0067A,R0067A,1,MP 085.06 W/O SR 970 I/C - CLE ELUM,3, ,-120.887803,47.173076,WA,0,1999, ,53,37,1
133,-114.90273276360992,47.194865193608216,6134,30000030,000030,1,00.7 MILES WEST OF SUPERIOR   INTERCHANGE M.P.46.8,3, ,-114.902733,47.194865,MT,6409,1999,1,30,61,1
134,-118.84620976728252,46.06184819255316,6135,53R0083A,R0083A,7,206MP 307.90 E/O SR 730 SPUR - WALLULA,3, ,-118.84621,46.061848,WA,6170,2000,2,53,71,1
135,-105.99170775531084,46.31823419279192,6136,30000031,000031,1,08.0 MILES WEST OF MILES CITY M.P.129.2,3, ,-105.991707,46.318235,MT,3980,1999,1,30,17,1
136,-117.8247177663311,47.40741819380633,6137,53R0142A,R0142A,1,206MP 254.50 NE/O FISHTRAP ROAD I/C,3, ,-117.824718,47.407419,WA,0,2000, ,53,43,1
137,-111.26348176022044,47.51038319390205,6138,30000032,000032,0,25TH ST.BET.4TH AND 5TH AVE.N.GREAT FALLS,3,Not on NHPN,-111.263482,47.510383,MT,4054,1999,6,30,0,1
138,-122.25251977045492,47.58947019397591,6139,53R0173A,R0173A,1,MP 003.94 ON SR 90 E/O RAINEER AVENUE SOUTH I/C,3, ,-122.25252,47.58947,WA,0,1999, ,53,33,1
139,-111.29031276024556,47.49419219388721,6140,30000033,000033,5,10TH. AVE.S.BET. 9TH AND 10TH.ST. GREAT FALLS,3, ,-111.290313,47.494193,MT,38776,1999,2,30,13,1
140,-122.99715777114824,46.774287193216765,6141,53R0195A,R0195A,1,206MP 086.32 S/O SR 12 I/C - GRAND MOUND,3, ,-122.997158,46.774287,WA,60439,2000,1,53,67,1
141,-106.79505775605888,46.29834419277335,6142,30000034,000034,0,05.0 MILES NW OF FORSYTH M.P. 265.0,3, ,-106.795058,46.298345,MT,233,1999,6,30,87,1
142,-119.1321077675488,46.83335419327158,6143,53R0205A,R0205A,7,206MP 030.37 S/O LEE ROAD - OTHELLO,1,Poor Location Description,-119.132108,46.833354,WA,5287,2000,2,53,1,1
143,-113.83044476261124,46.83952119327732,6144,30000035,000035,0,03.0 MILES SE OF BONNER,2,Not on NHPN,-113.830444,46.839521,MT,1074,1999,7,30,0,1
144,-117.34922176588836,47.7984801941704,6145,53R021AA,R021AA,7,206MP 289.79 E/O WALTON AVENUE - SPOKANE,3, ,-117.349221,47.79848,WA,45185,2000,14,53,63,1
145,-113.02660476186249,48.5483491948687,6146,30000036,000036,7,00.5 MILES WEST OF BROWNING M.P.221.2,3, ,-113.026605,48.548349,MT,1892,1999,2,30,35,1
146,-123.29231677142316,48.0962141944476,6147,53R069AA,R069AA,7,206MP 254.45 AT WEIGH STATION-PORT ANGELES,3, ,-123.292317,48.096214,WA,23162,2000,2,53,9,1
147,-114.00149276277055,46.87066019330632,6148,30000037,000037,0,SOUTH OF ORANGE ST.BRIDGE MISSOULA,3, ,-114.001493,46.870661,MT,21219,1999,2,30,63,1
